created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-23 09:45:57+00:00,The last flight from Wuhan: Plane full of passengers from coronavirus epicentre lands in Sydney as death toll soars to 17 and China QUARANTINES city of 11m. https://t.co/1p3Mj6hVcS https://t.co/tCPvjAC3qw,emm_downunder,"Melbourne, Australia",🇦🇺🇬🇧🇮🇪🇺🇸 ✝️  Emma Down Under  ✡️ 🇵🇱🇭🇺🇷🇺🇦🇺,2459,3388,23365,False,NaN
2020-01-23 09:46:51+00:00,Why is CNN team's escape from Wuhan a good thing? Which airports are they passing through? @CDCgov https://t.co/UsDR1BahGf,MarilynM,California,"Long-time tweeter. My eclectic interests all have one thing in common--storytelling. That's really all life is, right?",1876,2393,83505,False,NaN
2020-01-23 09:47:00+00:00,"RT @Dystopia992: Just In #Breaking —
#China National Health Commission reported 8 more DEATHS of #WuhanPneumonia (2020-01-23 15:44)

Video…",DingNgangSheung,,Freedom is not free🇭🇰Heung Gong Yan #StandwithHongKong #5DemandsNot1Less #黑警死全家 之前兩個帳都俾人封左啊 有冇大佬教我點用啊救命 難得草到咁多fol😭 #手足互科,158,215,688,False,"Just In #Breaking —
#China National Health Commission reported 8 more DEATHS of #WuhanPneumonia (2020-01-23 15:44)

Video from a hospital in #Wuhan. 🇨🇳 #CCPChina govt seems incapable to deal or hide this deadly virus anymore.

#ChinaPneumonia #coronavirus 
https://t.co/qEk7Xu3iYA"
2020-01-23 09:47:13+00:00,RT @CNN: Airports around the world are increasing health screenings and implementing new quarantine procedures as officials race to slow th…,FuaNgz,今天也是爱你的一天 🖤李永钦,HRK | HP ϟ  | SEHUN 吴世勋 - HH | (kra)TEN 10 텐 十  🍑🔟 Grow up together ♡,107,446,139378,False,Airports around the world are increasing health screenings and implementing new quarantine procedures as officials race to slow the spread of the Wuhan coronavirus https://t.co/CPnu0ndcRt https://t.co/kNtuRhos5K
2020-01-23 09:47:40+00:00,"RT @BenKTallmadge: There r growing fears that Chinazis authorities r hiding the true scale of the outbreak. 

Analysis from Imperial Colleg…",R_Sole1,"Dublin City, Ireland",I used to be a cute pup...Then I ran afoul of an ink spitting Murdoch Cable News hack.,43,266,4604,False,"There r growing fears that Chinazis authorities r hiding the true scale of the outbreak. 

Analysis from Imperial College London last week estimated the # of cases in Wuhan could be as high as 4,500."
2020-01-23 09:47:48+00:00,RT @cnnphilippines: BREAKING: Civil Aeronautics Board suspends all flights to the Philippines from Wuhan City in China due to the outbreak…,FuadSatrioAjie,"mostly, middle of nowhere",Arsenal. Geothermal Engineer.,331,285,13946,False,BREAKING: Civil Aeronautics Board suspends all flights to the Philippines from Wuhan City in China due to the outbreak of the new coronavirus https://t.co/sDo55hwVGt https://t.co/rH1tgqA3jz
2020-01-23 09:48:04+00:00,"RT @WakoJoel: DEADLY: In the US, the first case of #WuhanCoronavirus has been confirmed in Washington state.

What started as a mystery vir…",poupaekw,emailpuepae@gmail.com,📰Thai Journalist since 2012 l 📝Education l Poverty l 🏘 Welfare State l Asia Journalism Fellow 2017 l #BackpackJournalist,510,604,13459,False,"DEADLY: In the US, the first case of #WuhanCoronavirus has been confirmed in Washington state.

What started as a mystery virus last month in Wuhan, China, has now killed at least 17 people and infected hundreds more around the world.
https://t.co/GUMS8OIQIa https://t.co/y1esffzhmu"
2020-01-23 09:48:08+00:00,RT @YikaiLuo: A SARS-like #coronavirus is rapidly spreading in China and potentially abroad because some people in Wuhan were obsessed with…,stationary_stud,,"文具控。
同時擁有暗黑磁場。
急不及待想測試一下。
希望魔法唔會失靈。",594,505,13373,False,A SARS-like #coronavirus is rapidly spreading in China and potentially abroad because some people in Wuhan were obsessed with eating wild animals. (If you read in Chinese you'll see the menu has a whole ZOO.) Not a teleologist but it does seem nature is taking its revenge. https://t.co/0HSRlITu0U
2020-01-23 09:48:08+00:00,RT @ica___louise: Taal and Wuhan virus outbreak both require the expertise of scientists. Given the fact that our gov't LOVES to act so mig…,sigridalleje,Sa Ref Namin,temperamental bitch,730,537,7045,False,"Taal and Wuhan virus outbreak both require the expertise of scientists. Given the fact that our gov't LOVES to act so mighty and love to belittle scientists whilst pretending to be relevant, we already have a picture of what PH will be in the next few months 🤡"
2020-01-23 09:48:09+00:00,RT @CNN: Snakes — the Chinese krait and the Chinese cobra — may be the original source of the newly discovered coronavirus that has trigger…,MyNameisVance,Somewhere amazing!,Life begins at the end of your comfort zone... Nonchalant is a lifestyle! Talk faster or say less,502,607,137094,False,Snakes — the Chinese krait and the Chinese cobra — may be the original source of the newly discovered coronavirus that has triggered an outbreak of a deadly infectious respiratory illness in China this winter https://t.co/ZjXA9yWr8c
2020-01-23 09:48:15+00:00,"RT @nikki_miumiu: Sometimes I don’t really know what #HongKong communist govt thinking. When @WHO having emergency meeting, #Wuhan city is…",BlinkGreen2,,"FIGHT FOR FREEDOM 
STAND WITH HK
光復香港，時代革命
五大訴求，缺一不可
香港人報仇
手足互相科勞
鍾意Kpop
Blink of BLACKPINK
#FollowBackHongKong
#科勞手足
#手足互科
#互科手足",395,520,2384,False,"Sometimes I don’t really know what #HongKong communist govt thinking. When @WHO having emergency meeting, #Wuhan city is now lockdown becoz of #WuhanCoronavirus, Hong Kong govt offer free pass in Chinese New Year to welcome vehicles and tourists coming from mainland. https://t.co/UtWxLX0Hee"
2020-01-23 09:48:45+00:00,RT @WBYeats1865: #China Video from #Wuhan filmed by a local citizen; he filmed the makeshift tents in a Wuhan hospital to quarantine and tr…,rin_0hoshi,夢の中,香港人🇭🇰 / 高校生 / 禾勇 / ⭕広東語英語 / ♻️多い / 香港を取り戻せ 時代の革命だ /#FollowbackHongKong #手足互科,1028,1623,3946,False,"#China Video from #Wuhan filmed by a local citizen; he filmed the makeshift tents in a Wuhan hospital to quarantine and treat the patients of #WuhanPneumonia

His comments:
- #WuhanPneumonia is much more serious than anyone has imagined
- It looks like Biohazard (game/movie) https://t.co/aOtCWIyVaK"
2020-01-23 09:48:51+00:00,"RT @ConflictsW: Roads in Wuhan on lockdown and blocked by police as the city is being quarantined 
#China #Wuhan #Coronavirus  https://t.co…",APItTw,,"Università di Napoli Federico II  -             
Consiglio Universitario Nazionale",285,216,4822,False,"Roads in Wuhan on lockdown and blocked by police as the city is being quarantined 
#China #Wuhan #Coronavirus  https://t.co/KzS4vrWXng"
2020-01-23 09:48:52+00:00,RT @YikaiLuo: A SARS-like #coronavirus is rapidly spreading in China and potentially abroad because some people in Wuhan were obsessed with…,nameisEm_,"Kuantan, Pahang","23 | ""we try to go beyond the limit""",206,226,33987,False,A SARS-like #coronavirus is rapidly spreading in China and potentially abroad because some people in Wuhan were obsessed with eating wild animals. (If you read in Chinese you'll see the menu has a whole ZOO.) Not a teleologist but it does seem nature is taking its revenge. https://t.co/0HSRlITu0U
