created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-31 19:06:05+00:00,RT @murdo_fraser: Don’t often agree with @AamerAnwar but he is right on this👇 https://t.co/VHN2DjPpkE,ColSMal,"Glasgow, UK",Head of Research @ScotTories. Retweets often denote interest rather than agreement. 🌈🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,1087,1500,8013,False,Don’t often agree with @AamerAnwar but he is right on this👇 https://t.co/VHN2DjPpkE
2020-03-31 19:06:05+00:00,"Delivering new interurban passenger locomotive from #China to the Port of #Luanda, Luanda Province, #Angola #Africa  Photo: CRRC  https://t.co/iGhmGsSY0i https://t.co/6prUYmsvBY",aobrpt,"Texarkana, TX, USA","An evangelical Christian ministry serving Angola, Brazil, Portugal. - 1 Corinthians 2:9 Texarkana, TX, USA 🇦🇴🇧🇷🇵🇹 Também @ao_br_pt.",283,360,20831,False,NaN
2020-03-31 19:06:05+00:00,RT @jay_chaudhuri: PLEASE REWEET: During a call w healthcare workers in NC the #1 request was personal protection equipment. John Hopkins h…,OurTownApexNC,"Apex, NC","Politics, policies, programs, and people, all with an Apex NC slant. Why? Because it is, after all, “Our Town!”",561,1102,2394,False,PLEASE REWEET: During a call w healthcare workers in NC the #1 request was personal protection equipment. John Hopkins has said asbestos removal and other enviro remediation companies can be repurposed for PPE. Pl contact me at jay.chaudhuri@ncleg.net. #PPEshortage #PPE https://t.co/7Sr03ak7Fj
2020-03-31 19:06:05+00:00,Our front line soldiers... ❤️ https://t.co/7eiFiKZRJ2,alinadeem6,,I am searching a missing part of my Heart...,36,452,201,False,NaN
2020-03-31 19:06:05+00:00,"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN ⬇️

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We're…",BryonFaber,,conservative independent  common sense and accountability needs a comeback I block stupid which are usually libs who am I kidding it  always is#MAGA,823,1100,12281,False,"BOOM: @realDonaldTrump obliterates CNN ⬇️

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We're going to have a great victory!""

""People don't want to listen to CNN anymore...""
https://t.co/r5J4h5Lmj2"
2020-03-31 19:06:05+00:00,"Two Things:

1:Mid-June cinemas give us #WonderWoman1984 &amp; (ugh) #Candyman which is just all buzz and no honey. Well Gal Gadot is honey I suppose.

2: #Cineplex said it was too early to speculate on when its own movie screens will reopen. Eh, sure.

#coronavirus #BackToNormal https://t.co/DPmLJtXLFF",mypalsammy,"Scarborough, ON","The zany love child of Clair Huxtable & Frank Grimes: Author, Host of #BackIssueBloodbath, #MySummerLair  & #InSession: @GirthRadio curator & program director",2860,2384,50756,False,NaN
2020-03-31 19:06:05+00:00,"RT @CHEXNewswatch: Couple donates $100,000 to Northumberland Hills Hospital @NorHillsHosp in #Cobourg to help fight #coronavirus pandemic.…",rokyfitz,Oshawa,"Proud mother, childcare teacher..... with uplifting pictures & stories, interesting info - the positive side of every day!",380,135,110674,False,"Couple donates $100,000 to Northumberland Hills Hospital @NorHillsHosp in #Cobourg to help fight #coronavirus pandemic. #COVID19 #Northumberland 
https://t.co/rP4uLugB3h"
2020-03-31 19:06:05+00:00,RT @Solmemes1: Kinda like all liberal trolls,Dennis245,Texas USA 🇺🇸🇺🇸,#1A⭐️#2A🇺🇸🇺🇸🇺🇸#MAGA🇺🇸🇺🇸🇺🇸TRUMP 2020🇺🇸🇺🇸🇺🇸#KAG🇺🇸🇺🇸🇺🇸🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅 TEXAS Strong!🇺🇸💯,3331,3942,38267,False,Kinda like all liberal trolls https://t.co/BGmg4QjSs8
2020-03-31 19:06:05+00:00,"RT @MahmoodK69: If Pakistan can make hand sanitizers, masks &amp; gloves beyond its required demand.

It should figure out how to spruce produc…",wickeyali,"Ontario, Canada","stuggle for the good life is on....
Always hopeful of new thing to happen, Following Imran khan's idiology to end curruption.",145,817,4955,False,"If Pakistan can make hand sanitizers, masks &amp; gloves beyond its required demand.

It should figure out how to spruce production &amp; export it.

USA &amp; other western nations need these and we can earn foreign exchange while keeping “critical” businesses open with #COVID19 guidelines."
2020-03-31 19:06:05+00:00,"RT @NYorksPolice: We remain focused on engagement, explanation and encouragement of the social distancing rules and will only use enforceme…",cheung_ruth,,,52,144,1333,False,"We remain focused on engagement, explanation and encouragement of the social distancing rules and will only use enforcement as a last resort. Read our full statement here: https://t.co/UC8yyWQQnx #Covid19 #StayHomeSaveLives"
2020-03-31 19:06:05+00:00,RT @BarackObama: We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more conseque…,EnlightenedArth,,"I feel, we all have a Moral  Responsibility to Defend the Truth......Arthur",382,905,40856,False,"We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more consequences of climate denial. All of us, especially young people, have to demand better of our government at every level and vote this fall. https://t.co/K8Ucu7iVDK"
2020-03-31 19:06:05+00:00,"RT @TrudeauDrunk: China gave the world poisoned dog food, toxic candy &amp; toothpaste, radioactive drywall, counterfeit electronic components,…",72MarkSexton,USA,American auto enthusiast and builder.  Freedom of speech and the ability to defend it are paramount.,312,400,13783,False,"China gave the world poisoned dog food, toxic candy &amp; toothpaste, radioactive drywall, counterfeit electronic components, fentanyl, carcinogenic fish, poisoned medication, SARS, now Coronavirus and we still do business w/them and buy their CRAP why?"
2020-03-31 19:06:05+00:00,"@pulte $fostermommakas imma foster mom in utah with covid weve all be laid off and running low on food, we arent allowed to leave and worse I cant cuddle my babys during this hard time",Kassie11460437,United States,I'm just here to follow jeffree and the holo queen 💿💅 cause life 💖👑💄,3,57,281,False,NaN
2020-03-31 19:06:05+00:00,"RT @bennyjohnson: REMINDER: The U.S. got it’s first case of China Virus on January 15th.

What were Democrats up to?

Impeachment.

Don’t l…",WinokurPots,,Watcher of today’s crazy politics. Awareness is understanding and knowledge. Trump supporter. MAGA. KAG. Conservative. 2A. Married. I don’t DM.,580,992,16866,False,"REMINDER: The U.S. got it’s first case of China Virus on January 15th.

What were Democrats up to?

Impeachment.

Don’t let them fool you into thinking they took this seriously before President Trump did.

Trump Enacted a Travel Ban with China while Dems focused on Impeachment. https://t.co/H2pC2zrAkH"
2020-03-31 19:06:05+00:00,RT @atrupar: On the heels of Monday's lengthy performance evaluation 👇 https://t.co/aIIgOZxHDk,Rebecca69155514,,,31,410,28829,False,On the heels of Monday's lengthy performance evaluation 👇 https://t.co/aIIgOZxHDk
